audio_path,labels,prediction,probabilities
serviceable/2023-02-07T150448-5.wav,0,1,[0.44073898 0.5582143 ]
malfunction/2023-02-15T164316-3.wav,1,1,[0.00560166 0.9941409 ]
malfunction/2023-02-12T214802-1.wav,1,1,[0.11814408 0.8819298 ]
malfunction/2023-02-12T090715-3.wav,1,1,[0.37740636 0.6217482 ]
serviceable/2023-02-08T161515-2.wav,0,1,[0.46563324 0.5551105 ]
malfunction/2023-02-12T092115-4.wav,1,1,[2.0254076e-04 9.9978870e-01]
serviceable/2023-02-08T161415-2.wav,0,0,[0.58432543 0.41681457]
serviceable/2023-02-08T163414-4.wav,0,0,[0.962787   0.03795347]
malfunction/2023-02-12T215402-3.wav,1,1,[0.01035805 0.9886248 ]
serviceable/2023-02-07T151048-3.wav,0,1,[0.40484613 0.5992268 ]
serviceable/2023-02-07T142125-1.wav,0,1,[0.49667516 0.50748515]
serviceable/2023-02-07T143125-6.wav,0,1,[0.481451  0.5198806]
malfunction/2023-02-12T221950-5.wav,1,1,[0.00197639 0.99785066]
serviceable/2023-02-08T162115-6.wav,0,0,[0.8430422  0.16472757]
serviceable/2023-02-07T151048-5.wav,0,1,[0.15673466 0.8476396 ]
malfunction/2023-02-15T163216-3.wav,1,1,[0.09810976 0.9062436 ]
serviceable/2023-02-08T162115-4.wav,0,0,[0.72025084 0.28534588]
serviceable/2023-02-08T162815-2.wav,0,0,[0.59446603 0.40321645]
serviceable/2023-02-08T164814-2.wav,0,1,[0.46140343 0.56772363]
malfunction/2023-02-08T192317-3.wav,1,1,[0.26328173 0.74237514]
serviceable/2023-02-07T152128-1.wav,0,0,[0.8019538  0.19704688]
serviceable/2023-02-07T150548-5.wav,0,1,[0.27627736 0.7131495 ]
serviceable/2023-02-07T144357-5.wav,0,0,[0.9487096  0.05434133]
serviceable/2023-02-07T151048-4.wav,0,1,[0.43990442 0.5681467 ]
malfunction/2023-02-12T213902-1.wav,1,1,[0.39836204 0.584016  ]
malfunction/2023-02-12T085215-3.wav,1,1,[0.14444278 0.9052979 ]
serviceable/2023-02-08T161215-4.wav,0,0,[0.6270893 0.3724716]
malfunction/2023-02-12T215602-1.wav,1,1,[0.2503338 0.7925429]
serviceable/2023-02-08T163015-3.wav,0,0,[0.9723212  0.02718932]
malfunction/2023-02-12T222950-4.wav,1,1,[8.9463685e-04 9.9907184e-01]
malfunction/2023-02-08T185717-5.wav,1,1,[0.4588066  0.53958523]
malfunction/2023-02-12T212106-4.wav,1,1,[0.00193309 0.9978257 ]
malfunction/2023-02-08T185417-2.wav,1,1,[0.44694772 0.56995994]
serviceable/2023-02-08T164814-6.wav,0,0,[0.6128599 0.3841802]
malfunction/2023-02-08T191617-5.wav,1,0,[0.53289765 0.4613334 ]
serviceable/2023-02-08T160615-3.wav,0,0,[0.7083003 0.3015753]
serviceable/2023-02-07T145648-2.wav,0,1,[0.44959074 0.55222774]
malfunction/2023-02-08T195340-5.wav,1,1,[0.19205084 0.79968035]
malfunction/2023-02-08T192017-5.wav,1,1,[0.41613457 0.58894354]
serviceable/2023-02-07T144659-2.wav,0,0,[0.51054764 0.49060044]
malfunction/2023-02-12T212402-4.wav,1,1,[0.00304882 0.9966538 ]
malfunction/2023-02-15T163016-5.wav,1,1,[0.22012322 0.7829102 ]
malfunction/2023-02-08T185917-5.wav,1,1,[0.49146926 0.5135804 ]
malfunction/2023-02-12T212402-5.wav,1,1,[9.4280561e-04 9.9894994e-01]
serviceable/2023-02-07T145948-4.wav,0,1,[0.4576541 0.5481427]
serviceable/2023-02-08T165837-4.wav,0,1,[0.17478718 0.8267406 ]
malfunction/2023-02-08T185617-5.wav,1,1,[0.35882956 0.6240581 ]
malfunction/2023-02-12T222350-5.wav,1,1,[0.00148007 0.99853027]
serviceable/2023-02-07T150348-4.wav,0,1,[0.3811721  0.62602973]
malfunction/2023-02-08T194941-4.wav,1,1,[0.39721286 0.6116234 ]
malfunction/2023-02-12T222250-3.wav,1,1,[0.01013381 0.9892212 ]
malfunction/2023-02-08T184617-4.wav,1,1,[0.37933683 0.6253002 ]
serviceable/2023-02-07T145848-4.wav,0,0,[0.6135322  0.37759608]
malfunction/2023-02-08T191517-6.wav,1,1,[0.1844976 0.8192264]
malfunction/2023-02-08T185017-1.wav,1,0,[0.6056215  0.38537952]
malfunction/2023-02-08T184317-5.wav,1,0,[0.51403666 0.48196137]
malfunction/2023-02-12T213602-2.wav,1,1,[0.08108192 0.9201525 ]
serviceable/2023-02-08T161015-6.wav,0,0,[0.74471426 0.26473528]
serviceable/2023-02-07T142425-6.wav,0,0,[0.5285934 0.4741558]
malfunction/2023-02-08T192517-3.wav,1,1,[0.16346076 0.83697975]
malfunction/2023-02-12T090315-4.wav,1,1,[0.01306906 0.98682624]
malfunction/2023-02-12T085215-4.wav,1,1,[0.14849082 0.9008505 ]
serviceable/2023-02-07T145448-5.wav,0,0,[0.9726835  0.02706745]
serviceable/2023-02-07T144659-5.wav,0,0,[0.58206576 0.4179334 ]
malfunction/2023-02-08T184122-4.wav,1,1,[0.3658244  0.64353913]
malfunction/2023-02-08T195540-5.wav,1,1,[0.3608664  0.64308095]
serviceable/2023-02-08T155108-2.wav,0,1,[0.4531659 0.5724893]
malfunction/2023-02-08T190717-1.wav,1,0,[0.5009245  0.49276194]
malfunction/2023-02-08T185217-2.wav,1,0,[0.53451025 0.46533114]
serviceable/2023-02-08T162015-6.wav,0,0,[0.94444245 0.06168085]
serviceable/2023-02-08T165438-5.wav,0,1,[0.42705542 0.57416254]
serviceable/2023-02-08T162815-3.wav,0,0,[0.94433784 0.06152875]
malfunction/2023-02-12T215802-6.wav,1,1,[6.438065e-04 9.992574e-01]
serviceable/2023-02-08T161915-3.wav,0,0,[0.68734306 0.3193954 ]
malfunction/2023-02-08T190017-3.wav,1,1,[0.42091754 0.5843042 ]
serviceable/2023-02-07T150748-5.wav,0,1,[0.45135862 0.544858  ]
serviceable/2023-02-08T163314-5.wav,0,0,[0.647865   0.34706455]
serviceable/2023-02-07T150948-2.wav,0,1,[0.47922444 0.5286836 ]
malfunction/2023-02-08T190517-6.wav,1,1,[0.4514173 0.5586753]
serviceable/2023-02-08T161415-6.wav,0,0,[0.78219706 0.23944211]
malfunction/2023-02-08T190917-6.wav,1,1,[0.2719926 0.7145323]
malfunction/2023-02-12T092415-4.wav,1,1,[0.270431  0.7505995]
malfunction/2023-02-12T090415-4.wav,1,1,[0.0208476  0.97903526]
malfunction/2023-02-08T191617-3.wav,1,0,[0.5703791 0.4248948]
malfunction/2023-02-08T184217-4.wav,1,0,[0.5273837  0.47766036]
malfunction/2023-02-15T164416-4.wav,1,1,[0.17213528 0.8336213 ]
malfunction/2023-02-12T222750-6.wav,1,1,[0.00294491 0.9967372 ]
malfunction/2023-02-12T091315-4.wav,1,1,[0.00883242 0.991338  ]
serviceable/2023-02-07T143225-5.wav,0,0,[0.51089406 0.49038532]
malfunction/2023-02-12T090715-6.wav,1,1,[0.12490232 0.8723196 ]
malfunction/2023-02-08T193117-6.wav,1,1,[0.35159457 0.64524883]
serviceable/2023-02-08T161715-3.wav,0,1,[0.40727636 0.59645456]
malfunction/2023-02-15T163116-1.wav,1,1,[0.46388912 0.5540357 ]
malfunction/2023-02-12T091715-4.wav,1,1,[5.5315607e-04 9.9943656e-01]
malfunction/2023-02-12T222150-3.wav,1,1,[0.00773433 0.9917428 ]
serviceable/2023-02-07T142625-5.wav,0,0,[0.5023439 0.5004219]
malfunction/2023-02-12T215802-4.wav,1,1,[8.3395594e-04 9.9903429e-01]
malfunction/2023-02-08T190317-6.wav,1,0,[0.52864575 0.4774746 ]
serviceable/2023-02-08T163514-6.wav,0,0,[0.86780477 0.14427063]
serviceable/2023-02-08T164614-6.wav,0,0,[0.9931896  0.00610956]
malfunction/2023-02-08T184717-2.wav,1,1,[0.42972374 0.6063262 ]
malfunction/2023-02-12T090815-3.wav,1,1,[0.01017009 0.9893344 ]
malfunction/2023-02-08T192617-4.wav,1,1,[0.22682413 0.76554626]
malfunction/2023-02-08T190717-3.wav,1,1,[0.36892012 0.6270854 ]
malfunction/2023-02-12T221850-6.wav,1,1,[0.02064122 0.97866505]
malfunction/2023-02-12T212702-2.wav,1,1,[0.00187106 0.9981205 ]
serviceable/2023-02-08T163914-6.wav,0,0,[0.5802383  0.41174883]
serviceable/2023-02-08T155903-5.wav,0,0,[0.7853666  0.22901948]
malfunction/2023-02-12T090015-3.wav,1,1,[2.9130117e-04 9.9970323e-01]
malfunction/2023-02-12T213002-5.wav,1,1,[2.963264e-04 9.996581e-01]
malfunction/2023-02-08T191917-1.wav,1,1,[0.48605132 0.5163875 ]
malfunction/2023-02-08T193617-4.wav,1,1,[0.17415342 0.8233531 ]
serviceable/2023-02-08T154416-6.wav,0,1,[0.35383844 0.700785  ]
malfunction/2023-02-12T215102-5.wav,1,1,[0.02024918 0.9795966 ]
serviceable/2023-02-08T161915-5.wav,0,0,[0.629968   0.37210247]
malfunction/2023-02-15T163416-5.wav,1,1,[0.1103452 0.8925532]
serviceable/2023-02-07T150048-3.wav,0,1,[0.4744617 0.5243151]
malfunction/2023-02-15T162416-2.wav,1,1,[0.28452304 0.73934466]
serviceable/2023-02-07T150748-2.wav,0,1,[0.49631107 0.50833964]
malfunction/2023-02-15T164116-2.wav,1,1,[0.25214794 0.73732793]
malfunction/2023-02-12T215802-1.wav,1,1,[0.16472675 0.7990379 ]
malfunction/2023-02-15T163216-4.wav,1,1,[0.11044934 0.89056957]
malfunction/2023-02-12T221450-3.wav,1,1,[2.485657e-04 9.997131e-01]
